result-school-link,result-school-link href,value 5,visuallyhidden 9,value 6,visuallyhidden 10,value 7,visuallyhidden 11,value 8,button-comparison-add,button-comparison-add href,text-add,text-create
Wallington County Grammar School,https://www.compare-school-performance.service.gov.uk/school/136798/wallington-county-grammar-school,"99%
(141 of 142 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,77.4,EBacc average point score,7.47,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136798/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Swakeleys School for Girls,https://www.compare-school-performance.service.gov.uk/school/136631/swakeleys-school-for-girls,"97%
(166 of 172 pupils)",Grade 5 or above in English & maths GCSEs,64%,Attainment 8 score,56.5,EBacc average point score,5.04,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136631/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The St Marylebone CofE School,https://www.compare-school-performance.service.gov.uk/school/137353/the-st-marylebone-cofe-school,"99%
(147 of 149 pupils)",Grade 5 or above in English & maths GCSEs,67%,Attainment 8 score,62.2,EBacc average point score,5.54,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137353/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The Steiner Academy Hereford,https://www.compare-school-performance.service.gov.uk/school/135672/the-steiner-academy-hereford,"92%
(23 of 25 pupils)",Grade 5 or above in English & maths GCSEs,24%,Attainment 8 score,45.5,EBacc average point score,2.89,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/135672/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Maharishi Free School,https://www.compare-school-performance.service.gov.uk/school/137498/maharishi-free-school,"100%
(14 of 14 pupils)",Grade 5 or above in English & maths GCSEs,29%,Attainment 8 score,49.6,EBacc average point score,4.42,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137498/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Sandringham School,https://www.compare-school-performance.service.gov.uk/school/136609/sandringham-school,"97%
(189 of 194 pupils)",Grade 5 or above in English & maths GCSEs,76%,Attainment 8 score,63,EBacc average point score,5.74,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136609/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Langley Park School for Girls,https://www.compare-school-performance.service.gov.uk/school/137006/langley-park-school-for-girls,"98%
(226 of 231 pupils)",Grade 5 or above in English & maths GCSEs,69%,Attainment 8 score,59.9,EBacc average point score,5.72,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137006/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Maidstone Grammar School for Girls,https://www.compare-school-performance.service.gov.uk/school/118836/maidstone-grammar-school-for-girls,"99%
(177 of 179 pupils)",Grade 5 or above in English & maths GCSEs,96%,Attainment 8 score,69.7,EBacc average point score,6.69,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/118836/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Westcliff High School for Boys Academy,https://www.compare-school-performance.service.gov.uk/school/136272/westcliff-high-school-for-boys-academy,"99%
(149 of 151 pupils)",Grade 5 or above in English & maths GCSEs,97%,Attainment 8 score,77.3,EBacc average point score,7.58,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136272/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Invicta Grammar School,https://www.compare-school-performance.service.gov.uk/school/136582/invicta-grammar-school,"99%
(181 of 182 pupils)",Grade 5 or above in English & maths GCSEs,96%,Attainment 8 score,72.2,EBacc average point score,7.07,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136582/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Aldersley High School,https://www.compare-school-performance.service.gov.uk/school/139138/aldersley-high-school,"97%
(126 of 130 pupils)",Grade 5 or above in English & maths GCSEs,47%,Attainment 8 score,51.1,EBacc average point score,4.74,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/139138/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Sutton Coldfield Grammar School for Girls,https://www.compare-school-performance.service.gov.uk/school/136778/sutton-coldfield-grammar-school-for-girls,"99%
(147 of 149 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,75.8,EBacc average point score,6.93,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136778/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Rutlish School,https://www.compare-school-performance.service.gov.uk/school/102679/rutlish-school,"90%
(197 of 218 pupils)",Grade 5 or above in English & maths GCSEs,52%,Attainment 8 score,54.9,EBacc average point score,4.71,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/102679/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The Cardinal Wiseman Catholic School,https://www.compare-school-performance.service.gov.uk/school/101934/the-cardinal-wiseman-catholic-school,"98%
(287 of 292 pupils)",Grade 5 or above in English & maths GCSEs,66%,Attainment 8 score,56.7,EBacc average point score,5.28,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/101934/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Highbury Fields School,https://www.compare-school-performance.service.gov.uk/school/100455/highbury-fields-school,"92%
(110 of 120 pupils)",Grade 5 or above in English & maths GCSEs,65%,Attainment 8 score,57.4,EBacc average point score,5.3,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/100455/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Balcarras School,https://www.compare-school-performance.service.gov.uk/school/136474/balcarras-school,"99%
(192 of 194 pupils)",Grade 5 or above in English & maths GCSEs,70%,Attainment 8 score,61.1,EBacc average point score,5.65,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136474/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Newstead Wood School,https://www.compare-school-performance.service.gov.uk/school/136551/newstead-wood-school,"99%
(136 of 137 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,80.2,EBacc average point score,7.47,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136551/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Denbigh High School,https://www.compare-school-performance.service.gov.uk/school/136319/denbigh-high-school,"96%
(210 of 219 pupils)",Grade 5 or above in English & maths GCSEs,46%,Attainment 8 score,51.5,EBacc average point score,4.75,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136319/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The Ellen Wilkinson School for Girls,https://www.compare-school-performance.service.gov.uk/school/101941/the-ellen-wilkinson-school-for-girls,"99%
(206 of 209 pupils)",Grade 5 or above in English & maths GCSEs,52%,Attainment 8 score,54.4,EBacc average point score,5.01,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/101941/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St John Wall Catholic School,https://www.compare-school-performance.service.gov.uk/school/103534/st-john-wall-catholic-school,"89%
(104 of 117 pupils)",Grade 5 or above in English & maths GCSEs,30%,Attainment 8 score,47.1,EBacc average point score,3.95,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/103534/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Heston Community School,https://www.compare-school-performance.service.gov.uk/school/138924/heston-community-school,"96%
(179 of 187 pupils)",Grade 5 or above in English & maths GCSEs,53%,Attainment 8 score,52,EBacc average point score,4.96,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138924/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The Rochester Grammar School,https://www.compare-school-performance.service.gov.uk/school/136313/the-rochester-grammar-school,"99%
(165 of 166 pupils)",Grade 5 or above in English & maths GCSEs,92%,Attainment 8 score,69,EBacc average point score,6.59,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136313/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Bede's Inter-Church School,https://www.compare-school-performance.service.gov.uk/school/137924/st-bede's-inter-church-school,"95%
(147 of 154 pupils)",Grade 5 or above in English & maths GCSEs,70%,Attainment 8 score,60.1,EBacc average point score,5.54,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137924/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Swanlea School,https://www.compare-school-performance.service.gov.uk/school/100973/swanlea-school,"92%
(181 of 196 pupils)",Grade 5 or above in English & maths GCSEs,59%,Attainment 8 score,54.2,EBacc average point score,4.65,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/100973/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Ricards Lodge High School,https://www.compare-school-performance.service.gov.uk/school/102673/ricards-lodge-high-school,"95%
(214 of 225 pupils)",Grade 5 or above in English & maths GCSEs,50%,Attainment 8 score,54.8,EBacc average point score,4.87,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/102673/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Albans Girls' School,https://www.compare-school-performance.service.gov.uk/school/137339/st-albans-girls'-school,"98%
(190 of 194 pupils)",Grade 5 or above in English & maths GCSEs,70%,Attainment 8 score,62.4,EBacc average point score,5.96,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137339/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Wycombe High School,https://www.compare-school-performance.service.gov.uk/school/136723/wycombe-high-school,"99%
(184 of 185 pupils)",Grade 5 or above in English & maths GCSEs,98%,Attainment 8 score,76.3,EBacc average point score,7.36,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136723/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Bedford Free School,https://www.compare-school-performance.service.gov.uk/school/138228/bedford-free-school,"89%
(86 of 97 pupils)",Grade 5 or above in English & maths GCSEs,42%,Attainment 8 score,48.8,EBacc average point score,4.82,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138228/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Pate's Grammar School,https://www.compare-school-performance.service.gov.uk/school/136353/pate's-grammar-school,"99%
(121 of 122 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,81.4,EBacc average point score,7.75,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136353/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Beaconsfield High School,https://www.compare-school-performance.service.gov.uk/school/140893/beaconsfield-high-school,"99%
(147 of 148 pupils)",Grade 5 or above in English & maths GCSEs,98%,Attainment 8 score,75.2,EBacc average point score,7.23,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/140893/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Loreto Grammar School,https://www.compare-school-performance.service.gov.uk/school/138464/loreto-grammar-school,"99%
(149 of 151 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,73.3,EBacc average point score,6.9,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138464/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Hillcrest School and Sixth Form Centre,https://www.compare-school-performance.service.gov.uk/school/137346/hillcrest-school-and-sixth-form-centre,"90%
(94 of 105 pupils)",Grade 5 or above in English & maths GCSEs,44%,Attainment 8 score,50.8,EBacc average point score,4.76,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137346/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Loreto College,https://www.compare-school-performance.service.gov.uk/school/138106/loreto-college,"99%
(145 of 147 pupils)",Grade 5 or above in English & maths GCSEs,67%,Attainment 8 score,59.4,EBacc average point score,5.57,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138106/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Chelmsford County High School for Girls,https://www.compare-school-performance.service.gov.uk/school/136412/chelmsford-county-high-school-for-girls,"100%
(120 of 120 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,80.1,EBacc average point score,7.93,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136412/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Seven Kings School,https://www.compare-school-performance.service.gov.uk/school/102856/seven-kings-school,"98%
(175 of 179 pupils)",Grade 5 or above in English & maths GCSEs,79%,Attainment 8 score,60.2,EBacc average point score,5.57,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/102856/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
"The County High School, Leftwich",https://www.compare-school-performance.service.gov.uk/school/138743/the-county-high-school%2c-leftwich,"97%
(185 of 190 pupils)",Grade 5 or above in English & maths GCSEs,73%,Attainment 8 score,59.2,EBacc average point score,5.64,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138743/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Waddesdon Church of England School,https://www.compare-school-performance.service.gov.uk/school/137355/waddesdon-church-of-england-school,"97%
(137 of 141 pupils)",Grade 5 or above in English & maths GCSEs,56%,Attainment 8 score,56.8,EBacc average point score,4.89,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137355/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Gartree High School,https://www.compare-school-performance.service.gov.uk/school/138155/gartree-high-school,,Grade 5 or above in English & maths GCSEs,60%,Attainment 8 score,53.9,EBacc average point score,5.22,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138155/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
South Charnwood High School,https://www.compare-school-performance.service.gov.uk/school/139442/south-charnwood-high-school,"96%
(110 of 115 pupils)",Grade 5 or above in English & maths GCSEs,54%,Attainment 8 score,51.7,EBacc average point score,4.44,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/139442/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
,,40%,,"94%
(497037 of 528139 pupils)",,43%,,46.7,,,,
,,37%,,40%,,,,44.7,,,,
The Sacred Heart Language College,https://www.compare-school-performance.service.gov.uk/school/102243/the-sacred-heart-language-college,"97%
(132 of 136 pupils)",Grade 5 or above in English & maths GCSEs,65%,Attainment 8 score,58.6,EBacc average point score,5.42,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/102243/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Tiffin School,https://www.compare-school-performance.service.gov.uk/school/136910/tiffin-school,"99%
(140 of 141 pupils)",Grade 5 or above in English & maths GCSEs,95%,Attainment 8 score,77.7,EBacc average point score,7.64,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136910/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Lady Margaret School,https://www.compare-school-performance.service.gov.uk/school/138607/lady-margaret-school,"98%
(114 of 116 pupils)",Grade 5 or above in English & maths GCSEs,74%,Attainment 8 score,64.5,EBacc average point score,6.18,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138607/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Andrew's Catholic School,https://www.compare-school-performance.service.gov.uk/school/125275/st-andrew's-catholic-school,"95%
(142 of 150 pupils)",Grade 5 or above in English & maths GCSEs,68%,Attainment 8 score,59.2,EBacc average point score,5.21,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/125275/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The West Bridgford School,https://www.compare-school-performance.service.gov.uk/school/136628/the-west-bridgford-school,"98%
(219 of 223 pupils)",Grade 5 or above in English & maths GCSEs,78%,Attainment 8 score,62.2,EBacc average point score,5.61,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136628/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
"Archbishop Holgate's School, A Church of England Academy",https://www.compare-school-performance.service.gov.uk/school/136617/archbishop-holgate's-school%2c-a-church-of-england-academy,"96%
(174 of 182 pupils)",Grade 5 or above in English & maths GCSEs,51%,Attainment 8 score,55,EBacc average point score,4.86,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136617/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Bourne Grammar School,https://www.compare-school-performance.service.gov.uk/school/137793/bourne-grammar-school,"98%
(175 of 178 pupils)",Grade 5 or above in English & maths GCSEs,88%,Attainment 8 score,69.3,EBacc average point score,6.77,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137793/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
"Gumley House RC Convent School, FCJ",https://www.compare-school-performance.service.gov.uk/school/137928/gumley-house-rc-convent-school%2c-fcj,"99%
(167 of 169 pupils)",Grade 5 or above in English & maths GCSEs,70%,Attainment 8 score,59.8,EBacc average point score,5.31,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137928/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
De Salis Studio College,https://www.compare-school-performance.service.gov.uk/school/141035/de-salis-studio-college,"85%
(11 of 13 pupils)",Grade 5 or above in English & maths GCSEs,62%,Attainment 8 score,54.5,EBacc average point score,4.07,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/141035/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Upper Wharfedale School,https://www.compare-school-performance.service.gov.uk/school/121690/upper-wharfedale-school,"93%
(51 of 55 pupils)",Grade 5 or above in English & maths GCSEs,50%,Attainment 8 score,50.3,EBacc average point score,4.04,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/121690/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Upton Hall School FCJ,https://www.compare-school-performance.service.gov.uk/school/137929/upton-hall-school-fcj,"99%
(139 of 140 pupils)",Grade 5 or above in English & maths GCSEs,91%,Attainment 8 score,64.2,EBacc average point score,6.14,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137929/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Wirral Grammar School for Girls,https://www.compare-school-performance.service.gov.uk/school/137171/wirral-grammar-school-for-girls,"100%
(171 of 171 pupils)",Grade 5 or above in English & maths GCSEs,93%,Attainment 8 score,71.5,EBacc average point score,6.61,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137171/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Alcester Academy,https://www.compare-school-performance.service.gov.uk/school/137172/alcester-academy,"98%
(105 of 107 pupils)",Grade 5 or above in English & maths GCSEs,66%,Attainment 8 score,54.7,EBacc average point score,4.77,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137172/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
"St Mary's College, Voluntary Catholic Academy",https://www.compare-school-performance.service.gov.uk/school/144104/st-mary's-college%2c-voluntary-catholic-academy,"88%
(218 of 247 pupils)",Grade 5 or above in English & maths GCSEs,51%,Attainment 8 score,54,EBacc average point score,5,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/144104/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Tauheedul Islam Boys' High School,https://www.compare-school-performance.service.gov.uk/school/138220/tauheedul-islam-boys'-high-school,"96%
(72 of 75 pupils)",Grade 5 or above in English & maths GCSEs,67%,Attainment 8 score,55.7,EBacc average point score,5.05,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138220/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The Folkestone School for Girls,https://www.compare-school-performance.service.gov.uk/school/137837/the-folkestone-school-for-girls,"97%
(145 of 149 pupils)",Grade 5 or above in English & maths GCSEs,82%,Attainment 8 score,64,EBacc average point score,5.78,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137837/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
