result-school-link,result-school-link href,value 5,visuallyhidden 9,value 6,visuallyhidden 10,value 7,visuallyhidden 11,value 8,button-comparison-add,button-comparison-add href,text-add,text-create
Wallington High School for Girls,https://www.compare-school-performance.service.gov.uk/school/136789/wallington-high-school-for-girls,"100%
(207 of 207 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,79.4,EBacc average point score,7.78,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136789/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Chesterton Community College,https://www.compare-school-performance.service.gov.uk/school/136887/chesterton-community-college,"99%
(166 of 167 pupils)",Grade 5 or above in English & maths GCSEs,73%,Attainment 8 score,62.2,EBacc average point score,5.85,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136887/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Highworth Grammar School,https://www.compare-school-performance.service.gov.uk/school/136379/highworth-grammar-school,"97%
(175 of 180 pupils)",Grade 5 or above in English & maths GCSEs,95%,Attainment 8 score,73.1,EBacc average point score,7,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136379/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Nonsuch High School for Girls,https://www.compare-school-performance.service.gov.uk/school/136795/nonsuch-high-school-for-girls,"100%
(179 of 179 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,80.7,EBacc average point score,7.81,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136795/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Chadwell Heath Academy,https://www.compare-school-performance.service.gov.uk/school/136267/chadwell-heath-academy,"98%
(176 of 179 pupils)",Grade 5 or above in English & maths GCSEs,61%,Attainment 8 score,58.7,EBacc average point score,5.19,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136267/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Reading School,https://www.compare-school-performance.service.gov.uk/school/136449/reading-school,"99%
(122 of 123 pupils)",Grade 5 or above in English & maths GCSEs,100%,Attainment 8 score,83.9,EBacc average point score,8.29,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136449/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Colchester County High School for Girls,https://www.compare-school-performance.service.gov.uk/school/137515/colchester-county-high-school-for-girls,"99%
(111 of 112 pupils)",Grade 5 or above in English & maths GCSEs,100%,Attainment 8 score,82.2,EBacc average point score,7.91,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137515/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
London Academy,https://www.compare-school-performance.service.gov.uk/school/134798/london-academy,"94%
(181 of 193 pupils)",Grade 5 or above in English & maths GCSEs,57%,Attainment 8 score,51.9,EBacc average point score,4.48,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/134798/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Sir Christopher Hatton Academy,https://www.compare-school-performance.service.gov.uk/school/137912/sir-christopher-hatton-academy,"93%
(165 of 177 pupils)",Grade 5 or above in English & maths GCSEs,55%,Attainment 8 score,54.1,EBacc average point score,4.74,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137912/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Yate Academy,https://www.compare-school-performance.service.gov.uk/school/145135/yate-academy,,Grade 5 or above in English & maths GCSEs,44%,Attainment 8 score,52,EBacc average point score,4.29,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/145135/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The St Thomas the Apostle College,https://www.compare-school-performance.service.gov.uk/school/100857/the-st-thomas-the-apostle-college,"94%
(121 of 129 pupils)",Grade 5 or above in English & maths GCSEs,58%,Attainment 8 score,53.4,EBacc average point score,4.79,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/100857/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Forest Gate Community School,https://www.compare-school-performance.service.gov.uk/school/143274/forest-gate-community-school,"88%
(174 of 198 pupils)",Grade 5 or above in English & maths GCSEs,65%,Attainment 8 score,55.3,EBacc average point score,4.93,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/143274/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Brentwood Ursuline Convent High School,https://www.compare-school-performance.service.gov.uk/school/138834/brentwood-ursuline-convent-high-school,"98%
(159 of 162 pupils)",Grade 5 or above in English & maths GCSEs,82%,Attainment 8 score,62.4,EBacc average point score,5.69,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138834/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Sacred Heart High School,https://www.compare-school-performance.service.gov.uk/school/137935/sacred-heart-high-school,"99%
(157 of 158 pupils)",Grade 5 or above in English & maths GCSEs,81%,Attainment 8 score,65.1,EBacc average point score,6.21,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137935/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
